1000
1	1	1	0.819	1.33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	1	1.212	-1.316	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	1	0.641	3.63	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	1	0.235	-4.269	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5	1	0.415	-0.177	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	6	1	2.522	0.611	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	7	1	0.843	2.229	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8	1	2.422	-1.133	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	1	1.627	7.136	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	1	1.497	-2.664	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	11	1	2.274	-3.108	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	12	1	0.3	7.103	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	13	1	0.659	1.683	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	14	1	0.814	-1.338	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	15	1	0.521	-2.803	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	16	1	0.846	1.439	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	17	1	0.194	0.711	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	18	1	0.348	-4.018	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	19	1	1.427	-0.322	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	20	1	1.159	1.733	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	21	1	1.992	1.362	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	22	1	0.802	-3.571	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	23	1	0.775	5.92	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	24	1	0.755	-3.228	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	25	1	0.506	0.582	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	26	1	1.165	3.258	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	27	1	0.424	0.236	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	28	1	1.34	4.411	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	29	1	0.891	8.143	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	30	1	1.554	3.349	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	31	1	1.944	2.966	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	32	1	0.758	-3.078	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	33	1	0.751	5.083	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	34	1	0.971	-0.132	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	35	1	0.636	1.227	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	36	1	2.255	0.346	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	37	1	0.96	-0.529	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	38	1	1.629	6.245	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	39	1	1.255	6.147	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	40	1	2.089	-2.534	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	41	1	0.873	-1.268	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	42	1	0.112	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	43	1	1.425	-3.673	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	44	1	0.477	1.848	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	45	1	1.342	1.778	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	46	1	0.5	4.067	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	47	1	0.941	-2.514	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	48	1	0.687	3.014	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	49	1	0.852	2.752	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
